env, ud, task, x, y, div, rank
control,4940,6,14,39,0.866313713865,32.2777777778
control,1979,5,51,17,1.56943203625,94.5
control,15880,9,6,50,1.70438145772,61.5555555556
control,1281,6,22,6,1.27326968952,98.6666666667
control,2139,7,22,21,1.22523577947,60.1944444444
control,1396,3,34,16,1.40936086529,99.8611111111
control,1025,2,18,11,0.0,0.0
control,1179,4,20,8,0.721928094887,99.25
control,1102,1,17,12,0.721928094887,99.75
control,17034,8,50,3,1.37131468865,40.1388888889
control,1873,4,16,25,0.529360865287,94.9722222222
control,963,1,25,54,0.0,0.0
control,2211,5,32,10,0.996118213778,68.0833333333
control,2555,7,31,45,0.874309554641,40.1111111111
control,16368,9,28,26,0.764114054554,5.75
control,1662,2,7,23,0.0,0.0
control,2244,3,43,23,1.15854883189,73.9722222222
control,20607,8,3,30,2.16154193334,93.1111111111
control,2664,6,3,36,1.37131468865,77.0277777778
control,6946,9,5,37,2.3379065701,89.7222222222
control,1527,2,6,38,0.0,0.0
control,6898,8,10,37,1.73366068969,63.4166666667
control,1430,1,10,51,0.0,0.0
control,2219,7,20,58,0.884183719779,72.6111111111
control,2163,6,7,34,0.639556365374,70.9722222222
control,1796,4,0,39,0.996791631982,94.9166666667
control,2074,5,7,45,1.66053327706,95.7777777778
control,2090,3,4,41,1.66631371386,96.1666666667
control,1228,2,0,22,0.836640741941,79.5833333333
control,1588,5,12,47,0.85545081056,58.3055555556
control,1330,4,13,22,0.795040279385,72.8055555556
control,2111,3,15,20,1.02631371386,40.9166666667
control,427,1,8,24,0.402179190202,93.9166666667
control,1563,6,59,0,0.0,0.0
control,5230,9,39,46,1.01543127956,26.1111111111
control,16723,8,54,13,1.45131468865,51.6666666667
control,1767,7,7,23,1.40151018874,83.8333333333
control,5408,7,1,42,0.747584679825,24.6111111111
control,4502,3,0,26,1.60493559474,91.3611111111
control,3674,6,13,39,0.874309554641,45.9444444444
control,2240,4,43,22,0.970950594455,94.0277777778
control,1241,1,22,36,0.0,0.0
control,17190,9,30,11,1.56151018874,68.5833333333
control,3190,5,8,50,1.31999583875,92.6666666667
control,26529,8,16,2,1.32151018874,42.1111111111
control,1492,2,22,1,0.0,0.0
control,2710,6,26,18,1.13131468865,83.5833333333
control,3097,8,35,46,1.22523577947,46.2777777778
control,2659,5,49,36,0.721928094887,49.1944444444
control,1399,2,55,1,0.0,0.0
control,3100,7,27,49,1.48151018874,63.8333333333
control,2156,4,56,7,0.85545081056,82.2222222222
control,962,1,38,36,0.0,0.0
control,2521,3,39,27,0.794309554641,57.2222222222
control,10677,9,14,11,1.67933083224,70.6111111111
control,3358,7,3,27,0.402179190202,2.16666666667
control,1529,2,52,44,0.0,0.0
control,2092,4,26,17,0.529360865287,96.2777777778
control,2326,3,26,2,0.95104566058,86.25
control,10350,9,52,25,0.402179190202,0.694444444444
control,2056,1,31,12,0.0,0.0
control,3195,6,2,27,1.73701481125,93.0555555556
control,5723,8,40,26,2.20943203625,96.0555555556
control,2929,5,28,43,0.866313713865,43.1666666667
control,2126,6,35,43,0.482179190202,39.2222222222
control,2648,7,33,35,0.874309554641,28.2222222222
control,12505,8,2,4,2.02952633232,80.4166666667
control,12553,9,5,14,1.81134643325,69.9722222222
control,961,1,46,55,0.0,0.0
control,1147,2,43,12,0.0,0.0
control,1479,4,40,10,0.942683189255,95.8888888889
control,3208,5,12,25,1.84229218908,81.6111111111
control,2048,3,57,37,1.09712456976,80.25
control,2789,7,0,14,1.24194603221,66.1388888889
control,96181,8,40,39,1.67418595764,77.2777777778
control,1438,4,17,42,0.721928094887,95.2222222222
control,68890,9,32,0,1.53291456398,70.5833333333
control,2256,6,47,55,0.874309554641,36.0
control,1336,2,14,45,0.634309554641,98.4166666667
control,1556,3,14,37,1.55352095113,98.7222222222
control,1618,5,22,44,1.17712456976,91.3611111111
control,814,1,24,43,0.0,0.0
control,916,2,31,20,0.0,0.0
control,908,1,27,14,0.0,0.0
control,2721,8,10,28,1.2994705708,70.3333333333
control,2061,7,47,30,0.996118213778,42.3333333333
control,1602,6,31,30,2.04092427723,97.3888888889
control,11202,9,5,50,1.29131468865,47.3055555556
control,853,4,32,12,0.0,0.0
control,1684,5,14,23,1.82904103608,94.1944444444
control,1413,3,23,35,0.970950594455,77.9722222222
control,2392,3,53,17,0.998845535995,78.8333333333
control,2648,6,40,5,1.18296619547,76.6666666667
control,3777,7,49,4,1.14523577947,58.6111111111
control,5982,8,28,7,1.97972183241,90.0833333333
control,2416,5,58,31,1.35272419562,88.0833333333
control,2037,4,18,36,0.989587521222,93.9444444444
control,5983,9,28,7,1.92385618977,87.7777777778
control,1123,1,50,1,0.0,0.0
control,1672,2,6,41,0.904381457724,95.4722222222
control,2538,4,50,14,0.85545081056,55.1111111111
control,4107,7,43,13,1.37131468865,63.7777777778
control,2351,2,41,25,0.989587521222,89.1944444444
control,23258,8,15,40,1.24399045755,54.8888888889
control,4099,6,13,27,1.32092427723,61.8055555556
control,2925,5,47,16,1.02111918856,74.1111111111
control,12475,9,38,55,1.09543127956,44.5277777778
control,1484,1,9,26,0.0,0.0
control,4434,3,9,29,1.98504641728,94.3888888889
control,3786,7,29,26,1.88735181444,82.0277777778
control,2478,5,58,50,1.31903527434,68.1111111111
control,1651,2,24,44,0.0,0.0
control,2643,3,32,27,0.874309554641,33.7222222222
control,769,1,27,3,0.0,0.0
control,16051,9,51,7,1.02631371386,19.6666666667
